Amabolu	2005-11-22
Asaba	2008-08-30
Ayakoromo	2010-01-12, 2010-02-12, 2010-03-12
Badagry	2006-01-30
Bomadi Creek	2006-01-15
Bonny River	2007-02-28, 2008-02-28
Chanomi Creek	2006-02-17
Elem Tombia	2008-09-14
Forcados	2008-02-18
Kachia	2008-04-07
Kula	2008-09-13, 2008-09-14
Lagos City	1998-10-07
Mbiama	2007-05-07
Nembe	2008-05-09, 2008-09-14
Nembe Creek	2008-07-18
Niger Delta	2006-01-23, 2007-06-17, 2008-06-19
Ogbomama	2008-09-14
Port Harcourt	2006-01-24, 2006-01-28, 2008-07-16, 2008-08-15, 2008-08-30, 2008-09-14
Rivers State	2008-09-25
Sokoto	2007-07-19
Soku	2008-09-13, 2008-09-14
Tombia	2008-09-13
Warri	2008-11-20
Yenagoa	2008-08-30
